,Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Overtime,FTR,Situation,Min,Period,Quarter,Year
858,CR7,15/16,UEFA Champions League,Group Stage,15-09-2015,H,Real Madrid,Shakhtar Donetsk,4-0,LW,82,4-0,Header,,0,H,Ampliar,82,2nd,Q3 2nd,16
859,Messi,15/16,LaLiga,4,20-09-2015,H,FC Barcelona,Levante UD,4-1,AM,90,4-1,Left-footed shot,Marc Bartra,0,H,Ampliar,90,2nd,Q3 2nd,16
860,Messi,15/16,LaLiga,4,20-09-2015,H,FC Barcelona,Levante UD,4-1,AM,61,3-0,Penalty,,0,H,Ampliar,61,2nd,Q2 2nd,16
861,CR7,15/16,UEFA Champions League,Group Stage,30-09-2015,A,Real Madrid,Malm̦ FF,0-2,LW,90,0-2,Left-footed shot,Lucas Vazquez,0,A,Ampliar,90,2nd,Q3 2nd,16
862,CR7,15/16,UEFA Champions League,Group Stage,30-09-2015,A,Real Madrid,Malm̦ FF,0-2,LW,29,0-1,Right-footed shot,Isco,0,A,Adelantar,29,1st,Q2 1st,16
863,CR7,15/16,LaLiga,8,17-10-2015,H,Real Madrid,Levante UD,3-0,CF,30,2-0,Right-footed shot,Toni Kroos,0,H,Ampliar,30,1st,Q2 1st,16
864,CR7,15/16,LaLiga,9,24-10-2015,A,Real Madrid,Celta de Vigo,1-3,CF,8,0-1,Right-footed shot,Lucas Vazquez,0,A,Adelantar,8,1st,Q1 1st,16
865,CR7,15/16,LaLiga,10,31-10-2015,H,Real Madrid,UD Las Palmas,3-1,CF,14,2-0,Header,Marcelo,0,H,Ampliar,14,1st,Q1 1st,16
866,Messi,15/16,UEFA Champions League,Group Stage,24-11-2015,H,FC Barcelona,AS Roma,6-1,RW,18,2-0,Left-footed shot,Luis Suarez,0,H,Ampliar,18,1st,Q2 1st,16
867,Messi,15/16,UEFA Champions League,Group Stage,24-11-2015,H,FC Barcelona,AS Roma,6-1,RW,60,5-0,Tap-in,,0,H,Ampliar,60,2nd,Q1 2nd,16
868,CR7,15/16,UEFA Champions League,Group Stage,25-11-2015,A,Real Madrid,Shakhtar Donetsk,3-4,CF,70,0-4,Right-footed shot,Gareth Bale,0,A,Ampliar,70,2nd,Q2 2nd,16
869,CR7,15/16,UEFA Champions League,Group Stage,25-11-2015,A,Real Madrid,Shakhtar Donetsk,3-4,CF,18,0-1,Header,Gareth Bale,0,A,Adelantar,18,1st,Q2 1st,16
870,Messi,15/16,LaLiga,13,28-11-2015,H,FC Barcelona,Real Sociedad,4-0,RW,90+1,4-0,Left-footed shot,Neymar,0,H,Ampliar,90,2nd,Q3 2nd,16
871,CR7,15/16,LaLiga,13,29-11-2015,A,Real Madrid,SD Eibar,0-2,CF,82,0-2,Penalty,,0,A,Ampliar,82,2nd,Q3 2nd,16
872,CR7,15/16,LaLiga,14,05-12-2015,H,Real Madrid,Getafe CF,4-1,LW,38,4-0,Right-footed shot,Toni Kroos,0,H,Ampliar,38,1st,Q3 1st,16
